,NSE,KGE,r,alpha,beta,RMSE,delta
70586,0.5671528875827789,0.004654186566485086,0.84468627,1.6477954,1.739562,1.3362709,35.699177
70587,0.7464911639690399,0.4557805689089537,0.89866537,1.5345415,0.986905,0.4799508,-37.708164
70589,0.8507034331560135,0.5416183818990584,0.9610292,1.4188489,1.1821005,1.0673981,8.775888
70597,0.5050386190414429,-0.19134412711486593,0.81283784,1.972634,1.6620078,1.4354479,-10.091079
7060,0.06097835302352905,0.49467737564140046,0.8687206,0.59652716,0.72554356,0.54619986,-60.82273
70601,0.8262764066457748,0.47286042915849347,0.9505708,1.3844982,1.357203,1.0670964,21.433422
70609,0.8171905130147934,0.7440004845299344,0.9151426,1.221201,1.09698,0.40537775,-2.090121
70614,0.7144440412521362,0.679229986428599,0.85048896,1.2567071,1.1210014,0.71899444,-65.74136
70617,0.8242930620908737,0.8808501516452892,0.9249697,0.90761435,0.99434066,0.8776344,-6.6034875
7066,0.7178982496261597,0.6106718709430076,0.85618407,1.3605194,1.0303171,0.48539525,-50.79852
7072,0.8196500390768051,0.9090577168844642,0.91186893,0.98010504,1.0103732,0.31990665,-6.9962387
7076,0.8531276732683182,0.8848381093601407,0.9267196,1.0428194,1.077838,0.24761634,-10.453209
7080,0.8124206811189651,0.8998843958864773,0.90641195,1.0055413,0.9648759,0.35298544,-16.646452
7087,0.646367073059082,0.33757619794372185,0.8392628,1.6318426,1.1172338,0.8696701,-18.833248
7099,0.7662949562072754,0.8548095137457326,0.8951465,0.93915105,1.0798963,0.114720866,-12.605672
71086,0.7380363643169403,0.2714257081590854,0.9329669,1.6944019,1.2100788,0.810108,3.2569175
71104,0.7909367382526398,0.4491151305789831,0.9350373,1.546247,1.0294652,1.039951,-32.60461
71146,0.8937629237771034,0.9026614799409731,0.9456084,1.0807188,0.9990937,1.2022322,-3.768138
71185,0.4213220477104187,-0.1956496487813526,0.69225854,2.1423323,1.1730611,2.2221699,-33.285145
