,NSE,KGE,r,alpha,beta,RMSE,delta
75710,0.5048638880252838,0.6843257848025023,0.73770744,1.0958711,1.1471786,0.54324746,-14.290932
75727,-0.568099856376648,0.43423203045654946,0.6864949,0.59996057,0.75145143,0.6778388,-34.78813
75728,0.5626077353954315,0.467595742314468,0.77912086,1.3200501,1.3636408,0.5182351,-4.9092174
75740,-0.5786714553833008,0.4427424040400004,0.7982039,0.614764,0.6515641,0.2121284,-56.45793
75749,0.17772740125656128,-0.7078764574080927,0.8491315,2.4273343,1.9256335,0.5495416,41.084274
75751,0.2688238024711609,0.6404409566658151,0.65234876,0.9590363,1.0821176,0.5619049,3.2267532
75752,0.0133591890335083,0.5868490604135674,0.6945709,0.7275938,1.0565828,0.14984861,8.276835
75772,0.6314108669757843,0.44474101884698736,0.8797334,1.0960045,1.5335088,0.4682003,39.863903
75776,0.25342345237731934,0.21131529019722428,0.6113336,1.3521619,1.5890195,0.7275577,29.454426
75780,0.612194150686264,0.48690611110845516,0.7901247,1.4669111,1.0348102,0.98501194,-117.86886
76007,0.8969883099198341,0.7801516380060892,0.9591946,1.0251571,1.2145585,0.39228258,21.957365
76008,0.8724717944860458,0.7741452371658141,0.9472433,1.0267274,1.2179742,0.4379249,19.11406
76075,0.7956100702285767,0.49117322021261167,0.9342394,1.4650549,1.1957146,0.5872927,-12.250886
76076,0.6297220289707184,0.20250193389228366,0.84439033,1.7611886,1.1799463,1.2414771,-34.703094
76089,0.9363255575299263,0.9053919709150918,0.97489434,0.9171753,1.0382159,0.67024225,15.199509
76099,0.9227323085069656,0.9123083798364835,0.9681129,0.91879916,0.9910862,0.63133013,-1.0439918
76112,0.863005667924881,0.9071832734917346,0.9340265,0.9807633,1.062389,0.7579445,6.545432
76130,0.8881882503628731,0.9097198103005714,0.9438937,1.0250566,1.066142,1.0703678,4.232095
76139,0.6916978359222412,0.8064207450807601,0.84308857,1.0470071,0.8968396,0.62089044,-34.505013
76141,0.6237111985683441,0.4707820667904512,0.8243368,1.3552331,1.3507471,0.6763611,13.899319
76145,0.643387496471405,0.3041497461885928,0.83892393,1.6478503,1.1963469,1.2138497,-46.243313
76159,0.7796515673398972,0.6478841107956088,0.90132177,1.2748171,1.1967835,0.46213934,9.231568
76165,0.7020479142665863,0.8411337204638661,0.8638641,0.93474746,0.95052654,0.27788103,-28.35539
76176,0.8130135387182236,0.7811518825576168,0.9043824,1.1956924,0.97863996,0.2537208,-28.048794
76180,0.7459867298603058,0.8370821927353079,0.88246316,0.9553134,0.8964123,0.4380456,-31.254019
76190,0.8126549571752548,0.8182562929525545,0.92102355,0.93555355,0.84953356,0.6550749,-39.969032
76217,0.6898080706596375,0.7208798831669654,0.87707406,0.88537186,1.22284,0.9221228,26.98668
76243,0.737886905670166,0.47672239224002866,0.88851625,1.3909622,1.3294531,1.324459,-57.80179
76253,0.7369440495967865,0.7813833765494801,0.86670357,1.1250428,1.1199566,0.30033892,7.8069725
76255,0.38978415727615356,0.640243765847031,0.75584614,0.95614624,1.2605577,0.34079602,20.533335
76256,0.7069675326347351,0.6136439912571632,0.87984145,1.0289575,1.3660524,0.48532966,35.625202
76264,0.6247851550579071,0.6721102631594157,0.94212806,0.6906259,0.9080751,0.42618927,4.0614805
76270,0.8045864254236221,0.8414264547908502,0.89753985,1.1111819,0.952187,0.37809578,-41.760975
76275,0.6586739420890808,0.6707623229001856,0.9030162,0.7988358,0.7580815,0.47557387,-53.124733
76284,0.8334451466798782,0.8366681322673433,0.9144043,1.1252823,1.0604568,0.21651919,7.5230455
76317,-1.4933233261108398,0.3317358143255187,0.9508019,0.4129621,0.6844955,0.35204107,-26.485317
76318,0.826893225312233,0.7335756125633912,0.91710204,1.2530041,1.0099409,1.0147052,-64.67104
76321,0.8812938928604126,0.6924462408744523,0.9532608,0.9982194,1.3039763,0.13763006,33.008595
76324,0.6542083919048309,0.6809585006913177,0.81394213,1.1960123,0.8304443,0.26431584,-46.644295
76325,0.9040535166859627,0.8130424331087769,0.9565785,1.1606646,0.91482604,0.43424436,-56.580147
76345,0.23628312349319458,0.5119795202880166,0.77572685,0.8012332,1.3851718,1.3882905,28.800755
76355,0.3421451449394226,0.561500150177116,0.9077086,0.6453573,0.7591827,0.1664746,-22.326466
76360,0.7571602463722229,0.687907790593645,0.8802643,1.2219167,1.1838964,0.3879065,2.6569831
76363,0.8367258012294769,0.8229453706900929,0.91810685,1.1153723,1.1064476,0.3747649,4.814871
76364,0.7368628978729248,0.7582739673465411,0.89968413,0.91052485,0.79909605,0.4217688,-36.81951
76367,0.7999037653207779,0.8543784061845047,0.90927637,0.9636884,1.1079645,0.30704436,12.319498
76406,0.2538715600967407,0.20988393759148172,0.63440233,1.241044,1.6576622,0.93277276,22.472202
76408,0.3068893551826477,0.6495810136517992,0.7312692,0.83716404,1.1551182,0.6096253,17.166277
76416,0.7395594120025635,0.8347900284296591,0.89294344,0.88717246,0.94429386,0.35242897,-1.8217031
76417,0.8351339846849442,0.8586934085005932,0.9211133,1.0346609,1.1119958,0.23535678,8.457015
76421,0.4317646026611328,-0.23598961149397568,0.82598954,1.7052857,1.9999814,0.87251157,42.91574
76423,0.6651486754417419,0.6161247071445751,0.8202409,1.3062742,1.1457499,1.1337053,-43.00668
76454,0.6090461611747742,0.5983992872490616,0.8841515,0.8933651,1.3694472,0.5417414,32.788784
76456,0.5202178359031677,0.695451547021088,0.8756348,0.7405594,1.099868,0.3288053,16.597183
76461,0.5446474552154541,0.6568941376600995,0.7932275,1.0224993,1.2728746,0.6341022,21.415758
76462,0.726558119058609,0.8443649130610047,0.8581476,1.0511808,1.0384799,0.42634118,-1.9051547
76466,0.7429031431674957,0.8456252941736558,0.8647709,1.0719057,0.98065567,0.49908146,-10.354405
76470,0.5461741983890533,0.7096935796923354,0.7523442,1.1348108,1.0690686,0.8073428,-29.154531
76483,0.7513209283351898,0.732266487439611,0.88840187,1.0131146,1.2430125,0.14893375,19.663837
76486,-0.6595267057418823,0.468897637889777,0.8692064,0.48589233,1.0256137,0.16740987,16.80039
76489,0.5408228635787964,0.525485754149397,0.7376692,1.384427,0.90746754,0.24720977,-46.957973
76490,-3.049086093902588,0.3050040556740059,0.806419,0.37293744,0.7712243,0.24201772,-14.061344
76494,0.6604950428009033,0.7153280849084562,0.9141056,0.7609134,0.8715561,0.5129048,-19.74292
76495,0.5706470906734467,0.6885533754848462,0.9133972,0.70083934,1.0013615,0.3200851,11.858318
76499,-1.0219833850860596,0.31942172978204375,0.8500388,0.49066544,0.57423395,0.34277827,-81.59826
76500,-7.026212692260742,0.11859974682676788,0.7856318,0.29998505,0.50919276,0.44021103,-78.58323
76512,-8.896707534790039,0.22178588474660044,0.86508334,0.25645134,0.81412345,0.26575994,-7.4093843
76518,-21.63283920288086,0.024451053553693702,0.46127167,0.1952494,1.1176605,0.56052905,18.848108
76519,-1.7481708526611328,0.37705822675795675,0.6994013,0.45669055,1.0501171,0.138376,8.573376
76520,0.2555544376373291,0.5788572270069823,0.59951985,1.1010461,0.9177408,0.16233711,-29.286997
76533,-1.144587516784668,0.4086778976152261,0.6814545,0.70041704,1.398046,0.19773309,29.159664
76644,0.8681768029928207,0.7338802195949161,0.9622043,0.9237512,0.74785453,0.16107902,-44.134556
76646,0.7309324443340302,0.6220396307577472,0.9095342,0.8796038,1.3466623,0.25922862,33.325962
76648,0.11861997842788696,0.5666699947764767,0.8933774,0.5846844,1.0626055,0.32872653,13.610888
76649,0.7238483726978302,0.6270182604061229,0.87932795,1.0219005,1.3522414,0.47406682,36.857723
76650,0.8786291927099228,0.8187274517508598,0.94097066,1.1040782,0.8638273,0.6120417,-65.237465
