,NSE
19063,-5.493524551391602
10176,0.4172843694686889
80224,0.2846576571464538
10384,0.442788302898407
76253,0.150110125541687
12651,0.3450469374656677
11675,0.3020007014274597
70248,0.5219253301620483
7039,0.6465604305267334
5733,0.4792068004608154
70614,0.0835199356079101
12125,0.0368760228157043
75427,0.1390251517295837
5013,0.8157361000776291
76518,-0.7317525148391724
3008,-0.1162467002868652
71185,0.2374226450920105
8339,0.4201740026473999
10006,0.6974863708019257
75576,0.266741394996643
72739,0.2446751594543457
78011,-0.1130363941192627
72192,0.0469006896018981
7200,0.4055211544036865
1534,0.3954113721847534
70250,0.0127066969871521
10548,0.3864073157310486
72744,0.2734357118606567
10343,-0.6535080671310425
10223,0.4447720050811767
6373,0.4616003036499023
10329,0.1966317892074585
9343,-0.1038947105407714
10150,0.1094007492065429
10100,0.390031099319458
4027,0.371401309967041
8251,0.4191337823867798
82039,0.412954568862915
10021,0.8209380656480789
75751,-0.020437479019165
76317,0.1882761120796203
12511,0.4266139268875122
7053,0.686347484588623
78191,-0.7744607925415039
11502,0.3016011714935303
71199,0.5446369647979736
77189,0.2576730847358703
83369,0.2103546261787414
77166,-0.1194013357162475
49125,0.2195807695388794
76406,0.0885025262832641
72610,0.2323478460311889
3220,0.4088556170463562
6414,0.1866954565048217
76470,0.2355433106422424
76243,-0.0645800828933715
9563,0.1727955341339111
10423,0.5458595156669617
2203,0.4306570291519165
10539,0.3723074793815613
9256,0.614852100610733
5352,0.2696836590766907
78623,-2.575993061065674
4226,-0.0026766061782836
84008,-0.1966891288757324
3136,0.4868450164794922
8289,0.6020233631134033
3135,0.5050959587097168
8084,-1.7227962017059326
19111,0.4230217337608337
49054,0.4362692832946777
70566,0.4228549599647522
10453,0.6833193600177765
10126,0.5111439824104309
19154,0.2194094657897949
5160,0.1356648206710815
48085,0.2302380204200744
5758,0.1783628463745117
70605,0.547419399023056
3083,0.2684155106544494
11628,0.3460845351219177
70345,0.2545796036720276
9226,0.3972108960151672
70211,0.3610024452209472
3106,0.6876149773597717
8376,-0.2066793441772461
19118,-0.0350295305252075
72144,-0.0460623502731323
48071,0.1112813353538513
4116,0.2205955982208252
70574,0.4473901987075805
70213,0.3413712978363037
76512,-0.2765580415725708
4181,0.4723297357559204
77193,0.0070120096206665
11312,0.6847240924835205
76685,0.4534897804260254
10641,0.6746076941490173
3079,0.3440988659858703
84245,-0.1329813003540039
76270,0.402968168258667
10701,-0.1232696771621704
9053,-0.4523323774337768
7009,0.5557261407375336
12417,0.349342942237854
75772,0.2444461584091186
7051,0.6790551841259003
77292,-1.8538243770599363
75752,0.0087735056877136
78404,-0.0809124708175659
7203,0.3869454860687256
9169,0.4148546457290649
77409,-0.0472315549850463
3315,0.3964226841926574
5254,0.4202303886413574
78205,-2.202442169189453
77217,0.0151335597038269
78132,0.0192328691482543
70587,0.5184670686721802
5552,0.1940476894378662
75608,-0.0190991163253784
76141,0.4008033275604248
10595,0.4023967981338501
76321,0.2372538447380066
7022,0.4868630766868591
76363,0.4990248084068298
11412,0.3308327198028564
84157,0.1950481534004211
10060,0.6074471771717072
9309,0.3455850481986999
8374,0.514183521270752
5277,0.3003760576248169
49127,0.4462685585021972
5736,0.3020399808883667
75497,-2.556715250015259
49093,-0.0203529596328735
12315,0.4299503564834595
48021,0.4938094019889831
70531,0.2378003001213073
11637,-0.2510961294174194
19135,-5036.68310546875
76076,-0.0005633831024169
3310,0.4817387461662292
75074,0.1050291061401367
5449,0.5058519244194031
76165,0.4126596450805664
5211,0.1428192853927612
78160,-0.1971734762191772
9253,0.6250698268413544
76176,0.2841613888740539
9304,-0.1087244749069213
5085,0.3423271775245666
10198,0.6010189354419708
2107,0.7483432292938232
8364,0.3438616991043091
72098,0.2729580402374267
12320,0.2730923891067505
11351,0.6873098909854889
3488,0.7599172443151474
6086,0.3190466165542602
5358,0.6331690847873688
75740,-1.3120996952056885
75682,0.4055856466293335
76490,0.0394864082336425
19167,0.5856357216835022
72423,0.2737468481063843
48110,-0.0411562919616699
6549,0.2554346323013305
5280,0.278512954711914
5151,0.2636927962303161
78021,0.0051390528678894
75359,-3.3158559799194336
71086,0.3738247752189636
