,NSE,KGE,r,alpha,beta,RMSE,delta
75402,0.1034858226776123,0.4887709070688684,0.50889546,1.1184813,0.92168206,0.41760468,-28.31007
75427,0.38496726751327515,0.69272582030936,0.71791893,0.9436781,0.8919466,0.405506,-45.731785
75428,0.5083110332489014,0.21532698854007193,0.729276,1.7364908,1.0012189,0.88644814,-33.542133
75453,0.5495433211326599,0.5224754534291834,0.7432561,1.3985747,0.9429872,0.27097908,-14.22272
75463,0.4430285096168518,0.24117611455472066,0.7753258,1.5388683,1.4847227,0.1469499,29.604433
75491,-0.0987405776977539,0.4747108555084566,0.9193475,0.5578696,0.72807246,0.25518075,-43.005337
75497,0.35315942764282227,0.5982331537813479,0.77928734,1.0901132,0.6766084,0.13369124,-65.09588
75503,0.5099621415138245,0.4997310525254599,0.805903,1.2175509,0.59346956,0.2575756,-174.09987
75518,0.678821861743927,0.7179926994413951,0.8254271,1.220484,0.97904235,0.04779616,-8.851293
75520,0.13295435905456543,0.06459759035121448,0.8280197,1.7677324,1.505952,0.1292271,29.245369
75527,0.06943309307098389,-3.7074099369499987,0.5689553,5.6397104,1.6685776,0.3532281,24.75694
75540,-2.699097156524658,0.16152973156807104,0.6963089,0.51584035,0.3864908,0.36671698,-218.32175
75543,-4.991879940032959,0.2553140911848035,0.6614588,0.34033254,0.9308206,0.11641079,-6.086264
75547,-1.2932181358337402,0.025070750446943957,0.081711255,1.1549628,1.2884777,0.2727855,16.438545
75552,0.7571751177310944,0.8430523583497245,0.88241976,1.0536981,0.9109833,0.13136089,-16.377829
75553,0.7255707085132599,0.806463471983548,0.90103316,0.96899384,0.8365969,0.1304227,-25.11344
75561,0.5545931160449982,0.37054723229490505,0.7957134,1.5194687,1.2909125,0.38597524,19.77502
75573,0.4456954002380371,0.6973094338211329,0.8101339,0.7995837,0.8758802,0.2530437,-23.271303
75576,0.38896119594573975,0.7035779235714652,0.7538903,0.85290897,0.92476517,0.402379,-22.55202
75607,0.6311160922050476,0.6403872163437643,0.87795705,0.904798,0.67540264,0.34889996,-60.14223
75608,-0.21219444274902344,0.4521248453469894,0.79629284,0.6171942,0.6651414,0.53261614,-51.94736
75615,-0.23864293098449707,0.45742066591329633,0.4744879,0.865547,0.987681,0.30076095,-5.6118965
75624,-2.728388786315918,0.2571986784597965,0.4900658,0.5219863,0.7485565,0.13481575,-37.256016
75631,-1.1119649410247803,0.4339269050569714,0.7827366,0.4804163,0.94283235,0.11873815,-2.5792112
75643,-2.0223522186279297,0.3888955481029662,0.8355347,0.45171225,0.78603655,0.09596158,-24.100792
75645,-3.1389822959899902,0.038941998237755904,0.5193498,0.4987473,0.3356555,0.4905413,-226.65163
75648,0.7891746163368225,0.8036035561924506,0.89523435,1.0963626,0.86468565,0.20674443,-34.331562
75656,-1.0397775173187256,0.22382952537304102,0.6582599,0.5767465,0.4463658,0.50133896,-280.8154
75658,-2.548422336578369,0.3520852767845437,0.7769484,0.39183316,1.0132121,0.28368154,12.331765
75664,0.37017369270324707,0.6291086659622419,0.69029206,1.0414237,0.80018646,0.36526403,-36.344624
75674,0.7193944454193115,0.38068029519387214,0.8911216,1.5970278,1.1235323,0.8018977,-60.345924
75676,0.8582201600074768,0.8494460788415983,0.92744565,1.1319174,0.99959964,0.34409416,-30.263878
75678,0.7896605730056763,0.7675991509012401,0.89465964,1.1703283,1.1179061,0.3936605,-11.64901
