gauge_id,name,height
3556,ВИТИМ - р.Витим - с.Нерпо,272.0
70036,Лепша - р.Лепша - д.Федосеевская,82.32
70043,КОДИНА - р.Кодина - р.п.Кодино,24.92
70061,Сев. Двина - р.Северная Двина - г.Котлас,40.46
70062,Сев. Двина - р.Северная Двина - д.Телегово,37.07
70066,Сев. Двина - р.Северная Двина - д.Абрамково,26.08
70067,Сев. Двина - р.Северная Двина - с.Нижняя Тойма,21.87
70069,Сев. Двина - р.Северная Двина - д.Сидоровская,15.33
70070,Сев. Двина - р.Северная Двина - р.п.Березник,11.87
70072,Сев. Двина - р.Северная Двина - д.Звоз,5.78
70057,Сев. Двина - р.Северная Двина - д.Демьяново,0.0
70844,МЕЗЕНЬ - р.Мезень - д.Малонисогорская,18.45
70847,МЕЗЕНЬ - р.Мезень - с.Дорогорское,2.61
70850,ПЕЧОРА - р.Печора - с.Усть-Цильма,10.54
71010,Колос-йоки (Большая Колос-йоки) - р.Колос-йоки - пгт Никель,40.09
71018,Печенга (Петсамо-йоки) - р.Печенга - ст.Печенга,13.54
71044,Ура - р.Ура - с.Ура-Губа,1.45
71067,Печа - р.Печа - с.Падун,23.0
71068,Шовна - р.Шовна - 2 км от устья,58.53
71077,Вува - р.Вува - устье,91.17
71085,"Лотта (Лота, Лутто-йоки) - р.Лотта - пор.Каллокоски",105.13
10259,УСА - P.УCA - Г.MEЖДУPEЧEHCK,240.04
10264,Мрас-Су (Акмрас) - P.MPAC-CУ - ПOC.УCTЬ-KAБЫPЗA,406.28
10266,Мрас-Су (Акмрас) - P.MPAC-CУ - Г.MЫCKИ,222.68
10276,КОНДОМА - P.KOHДOMA - ПOC.KOHДOMA,314.51
10277,КОНДОМА - P.KOHДOMA - ПГT KУЗEДEEBO,225.2
10279,Мундыбаш - P.MУHДЫБAШ - ПГT MУHДЫБAШ,242.34
10287,Ускат - P.УCKAT - C.KPACУЛИHO,194.11
10292,Тайдон (Тойдон) - P.TAЙДOH - ПOC.MEДBEЖKA,178.85
10298,ЛЕБЯЖЬЯ - P.ЛEБЯЖЬЯ - C.БEЗMEHOBO,117.86
10257,КОНДОМА - Р.КОНДОМА - Г.ТАШТАГОЛ,417.32
75156,Песь - Р.ПЕСЬ - Д.МЯКИШЕВО,162.0
75158,Внина (Горицкая) - р.Внина - д.Середка,128.78
75168,Суда - р.Суда - с.Борисово-Судское,141.36
75176,Колпь - р.Колпь - с.Торопово,136.0
75190,Андога - р.Андога - с.Никольское,105.7
75196,Ягорба - р.Ягорба - д.Мостовая,102.95
75198,Пидьма - р.Пидьма - д.Чистый Дор,129.38
75200,Ковжа - р.Ковжа - д.Шулепово,125.45
75169,Суда - Р. Суда - д.Куракино,110.02
75166,Ужла - р.Ужла - с.Ужла,45.0
5132,"Павловка (Фудзин, Лифудзин) - р.Павловка - с.Антоновка",250.36
5135,"Павловка (Фудзин, Лифудзин) - р.Павловка - с.Уборка",179.45
5148,"Арсеньевка (Даубихэ, Дауби) - р.Арсеньевка - пос.Виноградовка",242.51
5151,"Арсеньевка (Даубихэ, Дауби) - р.Арсеньевка - с.Анучино",176.66
5155,"Арсеньевка (Даубихэ, Дауби) - р.Арсеньевка - с.Яковлевка",115.43
5160,"Муравейка (Эрльдагоу, Еловка) - р.Муравейка - пос.Гродеково",243.69
5166,ТИХАЯ - р.Тихая - с.Чернышевка,136.76
5167,Варфоломеевка (Хонихеза) - р.Варфоломеевка - с.Варфоломеевка,125.18
5171,"Крыловка (Шетухэ, Шетуха) - р.Крыловка - с.Крыловка",91.64
5190,Спасовка (Сантахеза) - р.Спасовка - г.Спасск-Дальний,83.92
6414,Голубая - р.Голубая - c.Рогачевка,0.0
6417,ТОМЬ - р.Томь - с.Воскресеновка,182.4
6421,ТОМЬ - р.Томь - г.Белогорск,155.99
6424,ТОМЬ - р.Томь - с.Светиловка,134.3
6437,ИВАНОВКА - р.Ивановка - с.Ивановка,140.57
6443,Завитая - р.Завитая - с.Михайловка,136.69
6444,Половинка - р.Половинка - с.Болдыревка,205.92
6453,БУРЕЯ - р.Бурея - с.Усть-Умальта,363.56
6456,БУРЕЯ - р.Бурея - с.Усть-Ниман,285.19
6473,БУРЕЯ - р.Бурея - с.Малиновка,106.43
6211,ЧЕРНАЯ - р.Черная - с.Сбега,455.15
6218,ЧЕРНЫЙ УРЮМ - р.Черный Урюм - с.Сбега,460.33
6228,Верхняя Луббия - р.Верхняя Луббия - гм.ст.Часовая,363.09
6229,АМАЗАР - р.Амазар - г.Могоча,593.75
6231,АМАЗАР - р.Амазар - ст.Амазар,430.94
6237,МОГОЧА - р.Могоча - г.Могоча,591.42
6239,Большая Чичатка - р.Большая Чичатка - ст.Амазар,435.32
6246,Уруша - р.Уруша - ст.Уруша,399.99
6250,Большой Невер - р.Большой Невер - г.Сковородино,385.74
6235,Среднее Олонгро - р.Среднее Олонгро - г.Могоча,602.65
