2025-10-19 15:07:46 | INFO     | PhDLogger | gr4j_simple | ✓ 10209/e5l: KGE=0.854, NSE=0.888
2025-10-19 15:07:52 | INFO     | PhDLogger | gr4j_simple | ✓ 80592/e5l: KGE=0.222, NSE=-0.385
2025-10-19 15:07:58 | INFO     | PhDLogger | gr4j_simple | ✓ 7022/mswep: KGE=0.741, NSE=0.561
2025-10-19 15:08:03 | INFO     | PhDLogger | gr4j_simple | ✓ 10584/mswep: KGE=0.076, NSE=-0.703
2025-10-19 15:08:05 | INFO     | PhDLogger | gr4j_simple | ✓ 8254/mswep: KGE=0.603, NSE=0.611
2025-10-19 15:08:34 | INFO     | PhDLogger | gr4j_simple | ✓ 3085/e5l: KGE=0.820, NSE=0.685
2025-10-19 15:08:35 | INFO     | PhDLogger | gr4j_simple | ✓ 75257/mswep: KGE=0.475, NSE=0.002
2025-10-19 15:08:38 | INFO     | PhDLogger | gr4j_simple | ✓ 78055/e5l: KGE=-1.033, NSE=-4.717
2025-10-19 15:08:38 | INFO     | PhDLogger | gr4j_simple | ✓ 72064/e5l: KGE=0.674, NSE=0.373
2025-10-19 15:08:39 | INFO     | PhDLogger | gr4j_simple | ✓ 10416/e5l: KGE=0.777, NSE=0.782
2025-10-19 15:08:43 | INFO     | PhDLogger | gr4j_simple | ✓ 72559/mswep: KGE=0.742, NSE=0.486
2025-10-19 15:08:48 | INFO     | PhDLogger | gr4j_simple | ✓ 75547/e5l: KGE=-0.109, NSE=-2.988
2025-10-19 15:08:49 | INFO     | PhDLogger | gr4j_simple | ✓ 48089/e5l: KGE=0.459, NSE=-0.053
2025-10-19 15:08:49 | INFO     | PhDLogger | gr4j_simple | ✓ 19383/gpcp: KGE=-1.521, NSE=-3.468
2025-10-19 15:08:54 | INFO     | PhDLogger | gr4j_simple | ✓ 10209/gpcp: KGE=0.254, NSE=0.343
2025-10-19 15:09:01 | INFO     | PhDLogger | gr4j_simple | ✓ 10044/gpcp: KGE=0.550, NSE=0.199
2025-10-19 15:09:06 | INFO     | PhDLogger | gr4j_simple | ✓ 75427/e5l: KGE=0.228, NSE=-0.226
2025-10-19 15:09:11 | INFO     | PhDLogger | gr4j_simple | ✓ 10651/mswep: KGE=0.538, NSE=0.533
2025-10-19 15:09:17 | INFO     | PhDLogger | gr4j_simple | ✓ 10478/mswep: KGE=0.815, NSE=0.783
2025-10-19 15:09:31 | INFO     | PhDLogger | gr4j_simple | ✓ 80592/gpcp: KGE=0.163, NSE=-0.720
2025-10-19 15:09:38 | INFO     | PhDLogger | gr4j_simple | ✓ 10394/e5l: KGE=0.400, NSE=0.074
2025-10-19 15:09:40 | INFO     | PhDLogger | gr4j_simple | ✓ 75547/gpcp: KGE=0.086, NSE=-2.489
2025-10-19 15:09:40 | INFO     | PhDLogger | gr4j_simple | ✓ 77166/e5l: KGE=0.026, NSE=-0.765
2025-10-19 15:09:42 | INFO     | PhDLogger | gr4j_simple | ✓ 72625/e5l: KGE=0.566, NSE=0.567
2025-10-19 15:09:54 | INFO     | PhDLogger | gr4j_simple | ✓ 78055/gpcp: KGE=-0.643, NSE=-3.464
2025-10-19 15:10:00 | INFO     | PhDLogger | gr4j_simple | ✓ 75389/e5l: KGE=0.314, NSE=-0.529
2025-10-19 15:10:15 | INFO     | PhDLogger | gr4j_simple | ✓ 19383/e5: KGE=0.275, NSE=-0.165
2025-10-19 15:10:18 | INFO     | PhDLogger | gr4j_simple | ✓ 3001/e5l: KGE=0.627, NSE=0.429
2025-10-19 15:10:20 | INFO     | PhDLogger | gr4j_simple | ✓ 10641/e5l: KGE=0.822, NSE=0.687
2025-10-19 15:10:21 | INFO     | PhDLogger | gr4j_simple | ✓ 10209/e5: KGE=0.805, NSE=0.865
2025-10-19 15:10:24 | INFO     | PhDLogger | gr4j_simple | ✓ 10044/e5: KGE=0.872, NSE=0.866
2025-10-19 15:10:27 | INFO     | PhDLogger | gr4j_simple | ✓ 72064/gpcp: KGE=-0.117, NSE=-0.002
2025-10-19 15:10:41 | INFO     | PhDLogger | gr4j_simple | ✓ 77166/gpcp: KGE=0.527, NSE=0.220
2025-10-19 15:10:42 | INFO     | PhDLogger | gr4j_simple | ✓ 3085/gpcp: KGE=0.622, NSE=0.295
2025-10-19 15:10:46 | INFO     | PhDLogger | gr4j_simple | ✓ 10416/gpcp: KGE=0.447, NSE=0.144
2025-10-19 15:10:51 | INFO     | PhDLogger | gr4j_simple | ✓ 48089/gpcp: KGE=-0.184, NSE=-0.007
2025-10-19 15:10:58 | INFO     | PhDLogger | gr4j_simple | ✓ 10394/gpcp: KGE=-0.045, NSE=-1.366
2025-10-19 15:11:03 | INFO     | PhDLogger | gr4j_simple | ✓ 75427/gpcp: KGE=-0.065, NSE=-0.207
2025-10-19 15:11:08 | INFO     | PhDLogger | gr4j_simple | ✓ 78055/e5: KGE=-0.966, NSE=-4.782
2025-10-19 15:11:08 | INFO     | PhDLogger | gr4j_simple | ✓ 80592/e5: KGE=0.109, NSE=-0.964
2025-10-19 15:11:12 | INFO     | PhDLogger | gr4j_simple | ✓ 11620/e5l: KGE=0.359, NSE=0.380
2025-10-19 15:11:13 | INFO     | PhDLogger | gr4j_simple | ✓ 75389/gpcp: KGE=0.097, NSE=-0.554
2025-10-19 15:11:16 | INFO     | PhDLogger | gr4j_simple | ✓ 75547/e5: KGE=0.128, NSE=-2.192
2025-10-19 15:11:29 | INFO     | PhDLogger | gr4j_simple | ✓ 72064/e5: KGE=0.560, NSE=0.431
2025-10-19 15:11:40 | INFO     | PhDLogger | gr4j_simple | ✓ 19383/mswep: KGE=0.529, NSE=0.103
2025-10-19 15:11:42 | INFO     | PhDLogger | gr4j_simple | ✓ 10209/mswep: KGE=0.780, NSE=0.773
2025-10-19 15:11:45 | INFO     | PhDLogger | gr4j_simple | ✓ 72625/gpcp: KGE=0.592, NSE=0.277
2025-10-19 15:11:55 | INFO     | PhDLogger | gr4j_simple | ✓ 77166/e5: KGE=0.069, NSE=-0.488
2025-10-19 15:11:58 | INFO     | PhDLogger | gr4j_simple | ✓ 3001/gpcp: KGE=0.170, NSE=0.183
2025-10-19 15:11:58 | INFO     | PhDLogger | gr4j_simple | ✓ 10044/mswep: KGE=0.757, NSE=0.704
2025-10-19 15:12:10 | INFO     | PhDLogger | gr4j_simple | ✓ 75427/e5: KGE=0.223, NSE=-0.138
2025-10-19 15:12:23 | INFO     | PhDLogger | gr4j_simple | ✓ 10641/gpcp: KGE=0.705, NSE=0.704
