"Платформа: идентификатор локальный","Платформа: название","Широта точки (град., дес.доли град)","Долгота точки (град., дес.доли град)","Дата и время","Уровень воды над нулем поста","Уровень воды: аномалия","Уровень воды: среднее","Температура воды","Температура воздуха","Лед (припай): толщина","Осадки: количество  (код)","Осадки: длительность выпадения  (код)","Снег: высота","Дата","Организация: вид деятельности","Платформа: тип","Организация: идентификатор локальный","Организация: название","Геообъект: код","Геообъект: название","Geometry (точка, поверхность, сетка)","Единица данных::номер"
"77094","СВЕТЛЫЙ ЯР","48.5","44.78","2023-02-25 08:00:00","301.0","-1.0","","","","","","","","2023-02-25 06:00:00.0","53","ГП","34","СЕВЕРО-КАВКАЗСКОЕ УГМС","112100001","P.BOЛГA","","2103"
"75286","МАНТУРОВО (ГП ПРИ МАНТУРОВО Г)","58.33","44.78","2023-02-25 08:00:00","147.0","0.0","147.0","","","","995","1","","2023-02-25 06:00:00.0","","","","","","","","2104"
"75286","МАНТУРОВО (ГП ПРИ МАНТУРОВО Г)","58.33","44.78","2023-02-24 08:00:00","147.0","0.0","147.0","","","","0","0","","2023-02-24 06:00:00.0","","","","","","","","2105"
"75286","МАНТУРОВО (ГП ПРИ МАНТУРОВО Г)","58.33","44.78","2023-02-22 08:00:00","148.0","0.0","148.0","","","","997","2","","2023-02-22 06:00:00.0","","","","","","","","2106"
"75286","МАНТУРОВО (ГП ПРИ МАНТУРОВО Г)","58.33","44.78","2023-02-23 08:00:00","147.0","-1.0","148.0","","","","995","1","","2023-02-23 06:00:00.0","","","","","","","","2107"
"75286","МАНТУРОВО (ГП ПРИ МАНТУРОВО Г)","58.33","44.78","2023-02-21 08:00:00","148.0","0.0","148.0","","","","0","0","","2023-02-21 06:00:00.0","","","","","","","","2108"
"75286","МАНТУРОВО (ГП ПРИ МАНТУРОВО Г)","58.33","44.78","2023-02-20 08:00:00","148.0","0.0","148.0","","","","0","0","","2023-02-20 06:00:00.0","","","","","","","","2109"
"75286","МАНТУРОВО (ГП ПРИ МАНТУРОВО Г)","58.33","44.78","2023-02-19 08:00:00","148.0","0.0","148.0","","","","0","0","","2023-02-19 06:00:00.0","","","","","","","","2110"
"75692","ТИМАРИХА","57.53","44.78","2023-02-25 08:00:00","51.0","0.0","","","","","","","","2023-02-25 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110004273","Р.ЛAПШAHГA","","2111"
"75692","ТИМАРИХА","57.53","44.78","2023-02-24 08:00:00","51.0","1.0","","","","","","","","2023-02-24 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110004273","Р.ЛAПШAHГA","","2112"
"75692","ТИМАРИХА","57.53","44.78","2023-02-23 08:00:00","50.0","1.0","","","","","","","","2023-02-23 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110004273","Р.ЛAПШAHГA","","2113"
"75692","ТИМАРИХА","57.53","44.78","2023-02-22 08:00:00","49.0","0.0","","","","","","","","2023-02-22 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110004273","Р.ЛAПШAHГA","","2114"
"75692","ТИМАРИХА","57.53","44.78","2023-02-21 08:00:00","49.0","1.0","","","","","","","","2023-02-21 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110004273","Р.ЛAПШAHГA","","2115"
