scripts.loaders 2023-10-27 04:38:47,256 INFO Nc coversion for tmax_2m ..
scripts.loaders 2023-10-27 04:38:47,256 INFO Nc coversion for tmax_2m ..
scripts.loaders 2023-10-27 04:39:52,146 INFO Nc coversion for tmax_2m has been finished

scripts.loaders 2023-10-27 04:39:52,146 INFO Nc coversion for tmax_2m has been finished

scripts.loaders 2023-10-27 04:39:52,147 INFO Nc coversion for tmin_2m ..
scripts.loaders 2023-10-27 04:39:52,147 INFO Nc coversion for tmin_2m ..
scripts.loaders 2023-10-27 04:40:56,808 INFO Nc coversion for tmin_2m has been finished

scripts.loaders 2023-10-27 04:40:56,808 INFO Nc coversion for tmin_2m has been finished

scripts.loaders 2023-10-27 04:40:56,808 INFO Nc coversion for tot_prec ..
scripts.loaders 2023-10-27 04:40:56,808 INFO Nc coversion for tot_prec ..
scripts.loaders 2023-10-27 04:42:02,304 INFO Nc coversion for tot_prec has been finished

scripts.loaders 2023-10-27 04:42:02,304 INFO Nc coversion for tot_prec has been finished

scripts.loaders 2023-10-27 04:42:02,304 INFO Nc coversion for alb_rad ..
scripts.loaders 2023-10-27 04:42:02,304 INFO Nc coversion for alb_rad ..
scripts.loaders 2023-10-27 04:43:07,469 INFO Nc coversion for alb_rad has been finished

scripts.loaders 2023-10-27 04:43:07,469 INFO Nc coversion for alb_rad has been finished

scripts.loaders 2023-10-27 04:43:07,470 INFO Nc aggregation for t_2m ..
scripts.loaders 2023-10-27 04:43:07,470 INFO Nc aggregation for t_2m ..
scripts.loaders 2023-10-27 04:43:11,352 INFO Nc aggregation for t_2m has been finished

scripts.loaders 2023-10-27 04:43:11,352 INFO Nc aggregation for t_2m has been finished

scripts.loaders 2023-10-27 04:43:11,352 INFO Nc aggregation for tmax_2m ..
scripts.loaders 2023-10-27 04:43:11,352 INFO Nc aggregation for tmax_2m ..
scripts.loaders 2023-10-27 04:43:15,113 INFO Nc aggregation for tmax_2m has been finished

scripts.loaders 2023-10-27 04:43:15,113 INFO Nc aggregation for tmax_2m has been finished

scripts.loaders 2023-10-27 04:43:15,115 INFO Nc aggregation for tmin_2m ..
scripts.loaders 2023-10-27 04:43:15,115 INFO Nc aggregation for tmin_2m ..
scripts.loaders 2023-10-27 04:43:18,363 INFO Nc aggregation for tmin_2m has been finished

scripts.loaders 2023-10-27 04:43:18,363 INFO Nc aggregation for tmin_2m has been finished

scripts.loaders 2023-10-27 04:43:18,363 INFO Nc aggregation for tot_prec ..
scripts.loaders 2023-10-27 04:43:18,363 INFO Nc aggregation for tot_prec ..
scripts.loaders 2023-10-27 04:43:21,219 INFO Nc aggregation for tot_prec has been finished

scripts.loaders 2023-10-27 04:43:21,219 INFO Nc aggregation for tot_prec has been finished

scripts.loaders 2023-10-27 04:43:21,220 INFO Nc aggregation for alb_rad ..
scripts.loaders 2023-10-27 04:43:21,220 INFO Nc aggregation for alb_rad ..
scripts.loaders 2023-10-27 04:43:24,320 INFO Nc aggregation for alb_rad has been finished

scripts.loaders 2023-10-27 04:43:24,320 INFO Nc aggregation for alb_rad has been finished

scripts.loaders 2023-10-27 04:43:26,140 INFO 
###########################################################
###########################################################

Data for 20231027 downloaded

###########################################################
###########################################################

scripts.loaders 2023-10-27 04:43:26,140 INFO 
###########################################################
###########################################################

Data for 20231027 downloaded

###########################################################
###########################################################

scripts.loaders 2023-10-28 04:20:00,001 INFO Variable t_2m is downloading ..
scripts.loaders 2023-10-28 04:20:00,001 INFO Variable t_2m is downloading ..
scripts.loaders 2023-10-28 04:20:00,001 INFO Variable t_2m is downloading ..
scripts.loaders 2023-10-28 04:23:22,288 INFO Variable t_2m has been downloaded

scripts.loaders 2023-10-28 04:23:22,288 INFO Variable t_2m has been downloaded

scripts.loaders 2023-10-28 04:23:22,288 INFO Variable t_2m has been downloaded

scripts.loaders 2023-10-28 04:23:22,289 INFO Variable tmax_2m is downloading ..
scripts.loaders 2023-10-28 04:23:22,289 INFO Variable tmax_2m is downloading ..
scripts.loaders 2023-10-28 04:23:22,289 INFO Variable tmax_2m is downloading ..
scripts.loaders 2023-10-28 04:28:19,354 INFO Variable tmax_2m has been downloaded

scripts.loaders 2023-10-28 04:28:19,354 INFO Variable tmax_2m has been downloaded

scripts.loaders 2023-10-28 04:28:19,354 INFO Variable tmax_2m has been downloaded

scripts.loaders 2023-10-28 04:28:19,354 INFO Variable tmin_2m is downloading ..
scripts.loaders 2023-10-28 04:28:19,354 INFO Variable tmin_2m is downloading ..
scripts.loaders 2023-10-28 04:28:19,354 INFO Variable tmin_2m is downloading ..
scripts.loaders 2023-10-28 04:31:03,006 INFO Variable tmin_2m has been downloaded

scripts.loaders 2023-10-28 04:31:03,006 INFO Variable tmin_2m has been downloaded

scripts.loaders 2023-10-28 04:31:03,006 INFO Variable tmin_2m has been downloaded

scripts.loaders 2023-10-28 04:31:03,007 INFO Variable tot_prec is downloading ..
scripts.loaders 2023-10-28 04:31:03,007 INFO Variable tot_prec is downloading ..
scripts.loaders 2023-10-28 04:31:03,007 INFO Variable tot_prec is downloading ..
scripts.loaders 2023-10-28 04:36:40,452 INFO Variable tot_prec has been downloaded

scripts.loaders 2023-10-28 04:36:40,452 INFO Variable tot_prec has been downloaded

scripts.loaders 2023-10-28 04:36:40,452 INFO Variable tot_prec has been downloaded

scripts.loaders 2023-10-28 04:36:40,453 INFO Variable alb_rad is downloading ..
scripts.loaders 2023-10-28 04:36:40,453 INFO Variable alb_rad is downloading ..
scripts.loaders 2023-10-28 04:36:40,453 INFO Variable alb_rad is downloading ..
scripts.loaders 2023-10-28 04:39:57,862 INFO Variable alb_rad has been downloaded

scripts.loaders 2023-10-28 04:39:57,862 INFO Variable alb_rad has been downloaded

scripts.loaders 2023-10-28 04:39:57,862 INFO Variable alb_rad has been downloaded

scripts.loaders 2023-10-28 04:39:57,863 INFO Unarchive t_2m ..
scripts.loaders 2023-10-28 04:39:57,863 INFO Unarchive t_2m ..
scripts.loaders 2023-10-28 04:39:57,863 INFO Unarchive t_2m ..
scripts.loaders 2023-10-28 04:40:31,032 INFO Unarchive for t_2m has been finished

scripts.loaders 2023-10-28 04:40:31,032 INFO Unarchive for t_2m has been finished

scripts.loaders 2023-10-28 04:40:31,032 INFO Unarchive for t_2m has been finished

scripts.loaders 2023-10-28 04:40:31,033 INFO Unarchive tmax_2m ..
scripts.loaders 2023-10-28 04:40:31,033 INFO Unarchive tmax_2m ..
scripts.loaders 2023-10-28 04:40:31,033 INFO Unarchive tmax_2m ..
scripts.loaders 2023-10-28 04:41:04,083 INFO Unarchive for tmax_2m has been finished

scripts.loaders 2023-10-28 04:41:04,083 INFO Unarchive for tmax_2m has been finished

scripts.loaders 2023-10-28 04:41:04,083 INFO Unarchive for tmax_2m has been finished

scripts.loaders 2023-10-28 04:41:04,083 INFO Unarchive tmin_2m ..
scripts.loaders 2023-10-28 04:41:04,083 INFO Unarchive tmin_2m ..
scripts.loaders 2023-10-28 04:41:04,083 INFO Unarchive tmin_2m ..
scripts.loaders 2023-10-28 04:41:37,087 INFO Unarchive for tmin_2m has been finished

scripts.loaders 2023-10-28 04:41:37,087 INFO Unarchive for tmin_2m has been finished

scripts.loaders 2023-10-28 04:41:37,087 INFO Unarchive for tmin_2m has been finished

scripts.loaders 2023-10-28 04:41:37,089 INFO Unarchive tot_prec ..
scripts.loaders 2023-10-28 04:41:37,089 INFO Unarchive tot_prec ..
scripts.loaders 2023-10-28 04:41:37,089 INFO Unarchive tot_prec ..
scripts.loaders 2023-10-28 04:42:03,401 INFO Unarchive for tot_prec has been finished

scripts.loaders 2023-10-28 04:42:03,401 INFO Unarchive for tot_prec has been finished

scripts.loaders 2023-10-28 04:42:03,401 INFO Unarchive for tot_prec has been finished

scripts.loaders 2023-10-28 04:42:03,401 INFO Unarchive alb_rad ..
scripts.loaders 2023-10-28 04:42:03,401 INFO Unarchive alb_rad ..
scripts.loaders 2023-10-28 04:42:03,401 INFO Unarchive alb_rad ..
scripts.loaders 2023-10-28 04:42:30,952 INFO Unarchive for alb_rad has been finished

scripts.loaders 2023-10-28 04:42:30,952 INFO Unarchive for alb_rad has been finished

scripts.loaders 2023-10-28 04:42:30,952 INFO Unarchive for alb_rad has been finished

scripts.loaders 2023-10-28 04:42:30,952 INFO Nc coversion for t_2m ..
scripts.loaders 2023-10-28 04:42:30,952 INFO Nc coversion for t_2m ..
scripts.loaders 2023-10-28 04:42:30,952 INFO Nc coversion for t_2m ..
scripts.loaders 2023-10-28 04:43:32,604 INFO Nc coversion for t_2m has been finished

scripts.loaders 2023-10-28 04:43:32,604 INFO Nc coversion for t_2m has been finished

scripts.loaders 2023-10-28 04:43:32,604 INFO Nc coversion for t_2m has been finished

scripts.loaders 2023-10-28 04:43:32,604 INFO Nc coversion for tmax_2m ..
scripts.loaders 2023-10-28 04:43:32,604 INFO Nc coversion for tmax_2m ..
scripts.loaders 2023-10-28 04:43:32,604 INFO Nc coversion for tmax_2m ..
scripts.loaders 2023-10-28 04:44:34,606 INFO Nc coversion for tmax_2m has been finished

scripts.loaders 2023-10-28 04:44:34,606 INFO Nc coversion for tmax_2m has been finished

scripts.loaders 2023-10-28 04:44:34,606 INFO Nc coversion for tmax_2m has been finished

scripts.loaders 2023-10-28 04:44:34,607 INFO Nc coversion for tmin_2m ..
scripts.loaders 2023-10-28 04:44:34,607 INFO Nc coversion for tmin_2m ..
scripts.loaders 2023-10-28 04:44:34,607 INFO Nc coversion for tmin_2m ..
scripts.loaders 2023-10-28 04:45:36,762 INFO Nc coversion for tmin_2m has been finished

scripts.loaders 2023-10-28 04:45:36,762 INFO Nc coversion for tmin_2m has been finished

scripts.loaders 2023-10-28 04:45:36,762 INFO Nc coversion for tmin_2m has been finished

scripts.loaders 2023-10-28 04:45:36,762 INFO Nc coversion for tot_prec ..
scripts.loaders 2023-10-28 04:45:36,762 INFO Nc coversion for tot_prec ..
scripts.loaders 2023-10-28 04:45:36,762 INFO Nc coversion for tot_prec ..
scripts.loaders 2023-10-28 04:46:39,065 INFO Nc coversion for tot_prec has been finished

scripts.loaders 2023-10-28 04:46:39,065 INFO Nc coversion for tot_prec has been finished

scripts.loaders 2023-10-28 04:46:39,065 INFO Nc coversion for tot_prec has been finished

scripts.loaders 2023-10-28 04:46:39,065 INFO Nc coversion for alb_rad ..
scripts.loaders 2023-10-28 04:46:39,065 INFO Nc coversion for alb_rad ..
scripts.loaders 2023-10-28 04:46:39,065 INFO Nc coversion for alb_rad ..
scripts.loaders 2023-10-28 04:47:41,517 INFO Nc coversion for alb_rad has been finished

scripts.loaders 2023-10-28 04:47:41,517 INFO Nc coversion for alb_rad has been finished

scripts.loaders 2023-10-28 04:47:41,517 INFO Nc coversion for alb_rad has been finished

scripts.loaders 2023-10-28 04:47:41,518 INFO Nc aggregation for t_2m ..
scripts.loaders 2023-10-28 04:47:41,518 INFO Nc aggregation for t_2m ..
scripts.loaders 2023-10-28 04:47:41,518 INFO Nc aggregation for t_2m ..
scripts.loaders 2023-10-28 04:47:45,719 INFO Nc aggregation for t_2m has been finished

scripts.loaders 2023-10-28 04:47:45,719 INFO Nc aggregation for t_2m has been finished

scripts.loaders 2023-10-28 04:47:45,719 INFO Nc aggregation for t_2m has been finished

scripts.loaders 2023-10-28 04:47:45,722 INFO Nc aggregation for tmax_2m ..
scripts.loaders 2023-10-28 04:47:45,722 INFO Nc aggregation for tmax_2m ..
