,NSE,KGE,r,alpha,beta,RMSE,delta
7087,0.5548613965511322,-0.1474481102612042,0.8676803,2.0644498,1.4075234,0.97572136,6.773527
7099,0.6929023861885071,0.4799376626673473,0.8942447,1.3465796,1.3730459,0.13150631,-27.720436
71086,0.8651049882173538,0.6763897027123992,0.9463947,1.166372,1.2723426,0.58132684,24.269938
71104,0.8069829046726227,0.5782093405257658,0.9240314,1.4006268,1.1078625,0.9992448,-0.57886696
71146,0.7819287329912186,0.5924152943398794,0.9039894,1.3823496,1.1035182,1.7224616,-6.68478
71185,0.43610262870788574,-0.30940376060370167,0.7353076,2.233449,1.3508272,2.193607,-8.475078
71186,0.6162724494934082,0.3644519595401564,0.8107829,1.5684586,1.2120686,1.2623383,5.854344
71193,0.7438972294330597,0.7270098399441605,0.86504203,1.2359796,1.0249724,0.5011689,-4.1592226
71199,0.7619711458683014,0.5597344837348139,0.910463,1.4087162,1.136996,0.44205296,4.273379
71268,0.8413280993700027,0.6729134668559499,0.93555665,1.2935448,1.1290896,1.6449592,7.5875216
7130,0.24732190370559692,0.636638500383822,0.73645926,0.80160606,1.1523736,0.081337474,11.056132
7142,0.46322983503341675,0.7150804624148885,0.822745,0.7804134,1.0392624,0.13368459,1.2576365
7148,0.5795114934444427,0.7721528955091861,0.83585846,0.85779613,1.0689197,0.11185216,0.36387488
7152,0.6878284811973572,0.779955202552688,0.8586366,1.0857363,1.1452081,0.26233718,12.756019
7156,0.4565986394882202,0.7223558663611109,0.80137897,0.81888753,1.0695286,0.78407925,9.475916
7161,0.4668475389480591,0.6308682861348252,0.8313408,1.144652,1.2947679,0.7027464,22.5942
7167,0.6641703546047211,0.8001493726904958,0.86670697,0.8653544,0.93640906,1.0122395,-22.421732
7168,0.6340427100658417,0.6792779889229312,0.7997605,1.2206079,1.1187389,1.9054284,4.9332027
7172,0.6271447837352753,0.6476888160624839,0.7941204,1.2702546,0.90673053,1.6425046,-26.117752
7174,0.6958555579185486,0.7387830310352659,0.83808225,1.17953,1.0989238,1.5437485,5.5507536
7176,0.3981449604034424,-0.009140065912144557,0.64792144,1.9396416,0.8928644,1.9552485,-17.229145
7180,0.5707011818885803,0.7467645357234702,0.8583069,0.790359,0.9899044,0.81006056,0.29207078
7185,-0.741533637046814,0.35727013478418357,0.87714857,0.49615765,0.62032634,0.45967785,-76.79191
7187,0.19102919101715088,0.6002407533822183,0.6004364,0.98802066,0.9964123,3.9826312,-14.949262
7200,0.6260166466236115,0.7111051110005647,0.8950598,0.7901175,0.83148545,0.36110526,-16.574987
72004,0.40413767099380493,0.13313473169252288,0.6431325,1.7874008,1.0640383,0.7974693,-62.71875
72007,0.5842150747776031,0.492751818498959,0.79887366,1.3959005,1.2451769,0.65799654,2.4455614
72008,0.5777083039283752,0.4836773287401901,0.86938363,1.408241,1.2878675,0.55375487,19.19364
7202,0.5220912396907806,-0.35738439250058485,0.88485533,2.2808855,1.4342425,0.10864209,-45.87071
7203,0.198958158493042,0.14454987645441653,0.66489947,1.4991864,1.6085355,0.86051536,33.323856
72043,0.3299371600151062,-1.0329036836952126,0.779896,2.8635893,1.7818482,1.0525538,-68.10645
72055,0.5443607568740845,0.1696708488078177,0.79529846,1.7740879,1.2198447,0.82253677,-2.6027913
72064,0.47722065448760986,-0.131037088096293,0.76378614,2.0905771,1.1846333,0.74316317,-17.426483
72076,0.7166025638580322,0.5842068798634499,0.8579483,1.3904911,0.98510325,0.5249673,-30.503824
72083,0.7646505534648895,0.6481964828622157,0.9144141,1.3037415,1.1555053,0.3095641,7.5822787
72096,0.40505802631378174,0.6725733362319652,0.70258397,1.0490216,1.1278625,0.8464275,0.804123
72098,0.2503536343574524,0.4397673194908246,0.5863327,1.2669855,1.2673177,1.4647061,12.48899
72102,0.2256762981414795,0.30710343645929283,0.5529115,1.4446443,1.2872437,1.483169,-3.2138877
72104,0.354079008102417,0.5014176755119055,0.6184788,1.3142794,0.9347748,0.6802836,-32.43648
72106,0.4695432186126709,0.606794884795016,0.74143684,1.1633637,1.2471187,1.075439,8.742419
72109,0.5350065529346466,0.5885858682130266,0.7610887,1.2397716,1.2338644,0.96230805,1.2475251
72110,0.6171298623085022,0.712994095699877,0.7933565,1.1722127,1.1000681,0.8767517,-21.685272
72113,0.4557814598083496,0.6476637957192604,0.7147403,1.1135432,1.1728457,1.0594912,-30.317057
72144,0.6034830808639526,0.4668760237245366,0.81554735,1.3703455,1.3362181,0.88035566,-69.08918
72148,0.45623302459716797,0.7097321568961464,0.7289871,1.0215865,0.8983071,0.80940175,-42.82236
72155,0.6340820491313934,0.8185540743421061,0.81917167,0.98900366,1.01014,0.72506577,-10.948349
72156,0.589512050151825,0.543117659520843,0.7849958,1.3551604,1.1907244,0.9173283,-14.424618
72162,0.5317760705947876,0.7341366753060798,0.7750185,0.9994789,1.1416558,0.8292859,3.736379
72172,0.4921450614929199,0.5876921941459208,0.7476123,1.1938359,1.2621561,0.9198294,19.690735
72179,0.23139071464538574,0.273968712975621,0.6424388,1.519342,1.359938,0.9361427,19.23922
72188,0.5911082923412323,0.5981200526387567,0.79393864,1.2506998,1.2370566,0.6480125,3.6432457
72192,0.41935569047927856,-0.04532439299777158,0.6830442,1.9797999,1.1795392,1.0731155,-25.62082
72198,0.8149247020483017,0.7767407380340604,0.90698516,1.1853635,1.0826638,0.43484372,-148.14075
72246,0.5371748208999634,-0.29118875976826186,0.858009,2.2297044,1.3671976,0.7043516,-269.20047
72269,0.6475982666015625,0.7399221129964252,0.8066683,1.172494,0.9774355,0.2953402,-12.785321
72281,0.6668568551540375,0.7681404845692983,0.84222054,1.0841484,0.8524076,0.45102713,-33.56974
72285,0.16707980632781982,-0.01415263815662171,0.51326615,1.7746772,1.437574,0.7998111,19.081614
72327,0.46305763721466064,0.30704431980458347,0.7147762,1.5684781,1.2750775,0.86535376,-2.909975
