gauge_id,NSE,day,static,encoder,decoder
72098,0.8888485017072818,1,ire_pc_sse,q_mm_day,t_max_e5l
78623,0.9395139052831248,364,slt_pc_sav,q_mm_day,prcp_e5l
70118,0.5150531362254795,356,crp_pc_sse,q_mm_day,t_min_e5l
72654,0.9430447743012971,1,pst_pc_sse,t_min_e5l,t_max_e5l
19039,0.7704543258617587,1,slt_pc_sav,q_mm_day,prcp_e5l
78252,0.9042974330305038,1,slt_pc_sav,prcp_e5l,prcp_e5l
10387,0.7963740074421258,1,lkv_mc_usu,q_mm_day,t_min_e5l
10385,0.6593170657750929,141,crp_pc_sse,prcp_e5l,t_min_e5l
70614,0.5927065119148234,1,gwt_cm_sav,q_mm_day,prcp_e5l
3087,0.8697081574042732,365,slp_dg_sav,q_mm_day,t_min_e5l
7148,0.9219804458257309,211,pst_pc_sse,q_mm_day,prcp_e5l
70444,0.7746989919114281,176,snd_pc_sav,t_max_e5l,t_min_e5l
4173,0.7209555547995338,70,urb_pc_sse,q_mm_day,t_max_e5l
75676,0.5008335450850258,362,for_pc_sse,q_mm_day,t_min_e5l
19128,-1.2185912619334376,265,rev_mc_usu,t_max_e5l,prcp_e5l
4090,0.7621371785391298,365,snd_pc_sav,q_mm_day,t_max_e5l
78404,0.9590763500382115,365,crp_pc_sse,q_mm_day,t_min_e5l
12315,0.8599854120074013,216,lkv_mc_usu,q_mm_day,t_min_e5l
11676,0.8786901179235455,13,ire_pc_sse,q_mm_day,prcp_e5l
3603,0.9003118983584434,149,snd_pc_sav,q_mm_day,t_max_e5l
9169,0.6764637614625746,1,ws_area,t_min_e5l,t_min_e5l
10308,0.7068497406327973,1,ele_mt_sav,q_mm_day,t_max_e5l
78502,0.8095032810340632,73,kar_pc_sse,q_mm_day,prcp_e5l
72592,0.019600809344529013,11,sgr_dk_sav,t_min_e5l,t_max_e5l
75687,0.9106217338805604,364,ws_area,q_mm_day,t_min_e5l
72696,0.8773062403307127,1,slp_dg_sav,q_mm_day,t_max_e5l
3076,0.8208084459109038,1,prm_pc_sse,q_mm_day,t_max_e5l
70410,0.8080082703405771,1,ire_pc_sse,t_max_e5l,t_max_e5l
75658,0.07590739484848086,1,lka_pc_use,prcp_e5l,t_min_e5l
77370,0.6082610868085061,365,lkv_mc_usu,q_mm_day,t_min_e5l
9215,0.8364597985187804,117,ele_mt_sav,t_max_e5l,t_max_e5l
80236,0.8815236287029447,365,prm_pc_sse,q_mm_day,t_max_e5l
77245,0.51051884855215,285,lka_pc_use,q_mm_day,t_min_e5l
75608,-0.46236805996561303,1,sgr_dk_sav,t_min_e5l,prcp_e5l
7203,0.9599193460926486,3,sgr_dk_sav,q_mm_day,prcp_e5l
71268,0.8403047904371149,201,sgr_dk_sav,q_mm_day,t_max_e5l
75648,0.277004605298363,314,rev_mc_usu,q_mm_day,t_max_e5l
78111,0.893192352125851,1,pst_pc_sse,q_mm_day,t_max_e5l
80172,-1.0792321764376172,5,lkv_mc_usu,prcp_e5l,prcp_e5l
5583,0.5375415030943995,2,gwt_cm_sav,q_mm_day,t_max_e5l
4085,0.6975431272501094,1,ws_area,q_mm_day,t_min_e5l
10460,0.9149176098442787,1,crp_pc_sse,q_mm_day,t_max_e5l
11622,0.947294204417659,1,gwt_cm_sav,t_min_e5l,t_max_e5l
9264,0.8712550536263697,306,slp_dg_sav,q_mm_day,t_max_e5l
7168,0.5266833928740571,194,cly_pc_sav,t_min_e5l,t_min_e5l
49114,0.8255427703490877,169,kar_pc_sse,q_mm_day,t_max_e5l
71186,0.6530427986492109,1,inu_pc_ult,q_mm_day,prcp_e5l
75273,0.43324910598788446,15,lka_pc_use,prcp_e5l,t_max_e5l
4175,0.706024185757534,343,rev_mc_usu,t_max_e5l,t_min_e5l
5085,0.8416618361278172,365,sgr_dk_sav,q_mm_day,prcp_e5l
3085,0.9069592654532325,217,sgr_dk_sav,q_mm_day,t_max_e5l
75203,0.6146721923978329,46,ws_area,q_mm_day,t_max_e5l
10423,0.8373284718023786,190,crp_pc_sse,prcp_e5l,t_min_e5l
10392,0.6827390418253978,364,gwt_cm_sav,prcp_e5l,t_min_e5l
76454,0.7994770069212388,204,slp_dg_sav,t_max_e5l,t_max_e5l
12511,0.9116049219795765,1,slt_pc_sav,q_mm_day,t_min_e5l
10048,0.8803087445404629,364,slt_pc_sav,prcp_e5l,t_max_e5l
75259,0.7488228352073438,1,lkv_mc_usu,q_mm_day,t_min_e5l
11628,0.8247612824817037,151,gwt_cm_sav,q_mm_day,t_max_e5l
1566,0.82796510976508,1,slp_dg_sav,t_max_e5l,t_max_e5l
83459,0.4919159035600721,2,lka_pc_use,q_mm_day,prcp_e5l
76089,0.7196897950949501,365,lkv_mc_usu,t_min_e5l,t_min_e5l
84192,0.7518457564802005,1,slp_dg_sav,prcp_e5l,prcp_e5l
4179,0.6617448699735136,177,cly_pc_sav,prcp_e5l,t_max_e5l
70217,0.5002676360382803,359,prm_pc_sse,q_mm_day,t_min_e5l
9520,0.8032881094331732,3,snd_pc_sav,q_mm_day,t_min_e5l
9342,0.8589321951027429,1,kar_pc_sse,q_mm_day,t_min_e5l
11351,0.8138649170210881,4,pst_pc_sse,q_mm_day,t_min_e5l
72281,0.7798918145566512,1,cly_pc_sav,q_mm_day,t_max_e5l
4095,0.6448459495314254,226,for_pc_sse,q_mm_day,t_min_e5l
76363,0.8629945854043103,1,prm_pc_sse,q_mm_day,t_max_e5l
75121,0.11353303647812196,93,urb_pc_sse,t_min_e5l,t_min_e5l
9290,0.656801442609939,202,ele_mt_sav,prcp_e5l,prcp_e5l
49058,0.9751599326156469,74,ele_mt_sav,q_mm_day,t_max_e5l
72008,0.9657070048296372,236,slp_dg_sav,q_mm_day,t_min_e5l
80160,0.486295882751425,1,snd_pc_sav,prcp_e5l,t_min_e5l
78191,0.5876642578271156,3,ele_mt_sav,q_mm_day,t_max_e5l
80204,0.5051756005758503,198,ele_mt_sav,q_mm_day,prcp_e5l
48071,0.885042969114127,1,inu_pc_ult,t_min_e5l,t_min_e5l
8321,0.6641220055382726,340,rev_mc_usu,q_mm_day,t_max_e5l
7031,0.5362555017654633,191,ele_mt_sav,q_mm_day,t_min_e5l
72610,0.9099328244613366,1,rev_mc_usu,q_mm_day,t_max_e5l
