gauge_id,NSE,day,encoder,decoder
7202,0.8448767338149729,365,q_mm_day,prcp_e5l
72043,0.7693569329913222,1,q_mm_day,prcp_e5l
75674,0.8431563569285063,365,q_mm_day,prcp_e5l
12651,0.747292749919458,359,q_mm_day,prcp_e5l
12383,0.8745428408334617,5,q_mm_day,prcp_e5l
70331,0.6383859825221181,362,q_mm_day,prcp_e5l
49110,-37323.682658473226,1,q_mm_day,prcp_e5l
75271,0.4288230663156254,365,q_mm_day,prcp_e5l
79335,0.8465943111272528,1,q_mm_day,prcp_e5l
49149,-74968.877278597,362,q_mm_day,prcp_e5l
10583,0.6801539662963212,1,q_mm_day,prcp_e5l
78205,0.6852691985297266,2,q_mm_day,prcp_e5l
80424,0.8075548589752369,1,q_mm_day,prcp_e5l
11368,0.7844998389224985,1,q_mm_day,prcp_e5l
1596,0.8152468553374579,1,q_mm_day,prcp_e5l
9191,0.7004714832412156,365,q_mm_day,prcp_e5l
2126,-562.9670228743239,365,q_mm_day,prcp_e5l
75235,0.8046888989435391,1,q_mm_day,prcp_e5l
11334,0.8746657343139557,1,q_mm_day,prcp_e5l
75367,0.7379577132302955,1,q_mm_day,prcp_e5l
49047,-28530.897703045957,362,q_mm_day,prcp_e5l
2115,-440.10483986098865,2,q_mm_day,prcp_e5l
2193,0.8994726560326652,1,q_mm_day,prcp_e5l
8359,0.7250874862553182,2,q_mm_day,prcp_e5l
9282,-879.901948308458,365,q_mm_day,prcp_e5l
7012,0.758263631848823,1,q_mm_day,prcp_e5l
80230,0.7974936309185156,1,q_mm_day,prcp_e5l
10549,-1287289.4212380028,5,q_mm_day,prcp_e5l
76653,0.758722625940298,364,q_mm_day,prcp_e5l
78196,0.8677364032478744,1,q_mm_day,prcp_e5l
10266,0.8199535404080137,2,q_mm_day,prcp_e5l
9207,0.8133074967249952,9,q_mm_day,prcp_e5l
7099,0.8475493777322496,365,q_mm_day,prcp_e5l
6506,0.7761349008420251,1,q_mm_day,prcp_e5l
6089,0.7608864896608255,363,q_mm_day,prcp_e5l
7152,0.878876112430629,1,q_mm_day,prcp_e5l
9547,0.7685822649090678,1,q_mm_day,prcp_e5l
