gauge_id,NSE
49114,0.5146576870944214
3059,-0.2779770888051467
9215,0.5565516939082582
9370,0.4125433402087242
76008,0.5369908979710372
76489,0.048054054103555
70566,0.3008745985948878
4102,0.5472913831716701
10632,0.2793373537969842
78504,-0.0270648925320202
72731,0.4907301390276015
78503,-0.0667847609539729
48099,0.3797267610544027
72162,0.5308162601740634
75225,-0.0950485473888456
19111,
6259,0.3373002656512073
78393,-1.4851327065736104
77115,0.0622310246939997
3234,0.2055723479847164
12061,0.0550954879020826
77250,0.0466362838755488
10554,-0.049991648259684
75367,-0.1553803696157094
8059,-7.832221935608624
9397,0.7195609755187886
75728,0.3417381885628605
75576,0.215645217548841
19039,0.3070942738707175
76284,0.4640853265626558
72285,-0.0541786792431639
6562,-0.004786265937867
72454,-0.4203488645403597
76408,0.313669658220492
3003,0.5209383141341588
19183,-0.0302382973736339
10202,-0.008008153037035
77260,-1.4042081885414142
75227,0.3230433009484381
70242,0.5662435801982466
70175,0.5776474842806097
10301,0.5907976572042515
10120,0.1993582041538555
12430,0.6393229936204792
9253,0.6205196585320404
84173,0.2508726215250925
72096,0.563890033831594
70617,0.5558938858226128
76520,-0.3178218109799939
84295,-1.0782484359181548
78801,-1.9134096259515083
9053,-18.607808276804757
72179,0.3999815908564224
76321,0.0744346331061868
3603,0.4572459478884515
72191,
10204,0.5701254367918306
72748,0.428296263730632
4226,
75727,0.2754984428591124
76325,0.5275452713713177
77801,0.1877025072233665
76256,0.4279895865780548
8254,0.4398560414527165
75751,0.2005959941483245
3008,0.3331005149296833
49047,0.465663864449807
1151,0.5478174088062522
72569,0.4016765812276881
80197,0.1219812616722954
80148,0.0176622386277205
5358,0.6653512882618675
9385,0.4362345981380504
10198,0.032511129220709
76650,0.5149673687416265
2026,0.6292437014354104
19197,-1.3354260408327576
10323,0.0443989666155706
7039,0.012677536786408
2103,0.4128324833005807
77409,-0.2585388675566908
6443,0.3590428329497964
76490,-0.0228077711447134
76518,-0.8036252374200215
72623,0.5088119314300241
75208,0.361271083526922
79261,0.3535781052211993
72007,0.4852335970172772
72076,0.440922285316467
2115,0.7089765007225012
84400,-0.5048879142386948
72481,0.4856439183625304
9264,0.6590139362574201
10400,0.3473754642697626
77201,0.0039917030224804
10060,-0.0394869730899762
10584,-0.0447762028690781
72603,0.5185900771598378
75361,-0.2813407661456237
12014,-6.659729539925571
3315,-0.480207092370323
5759,0.6939885445919759
78277,-0.3884123903234733
11524,0.4417599786972637
78515,-0.0249027951554603
