"Платформа: идентификатор локальный","Платформа: название","Широта точки (град., дес.доли град)","Долгота точки (град., дес.доли град)","Дата и время","Уровень воды над нулем поста","Уровень воды: аномалия","Уровень воды: среднее","Температура воды","Температура воздуха","Лед (припай): толщина","Осадки: количество  (код)","Осадки: длительность выпадения  (код)","Снег: высота","Дата","Организация: вид деятельности","Платформа: тип","Организация: идентификатор локальный","Организация: название","Геообъект: код","Геообъект: название","Geometry (точка, поверхность, сетка)","Единица данных::номер"
"76288","ОХЛЕБИНИНО","54.5","56.38","2023-02-26 08:00:00","178.0","0.0","","","","","5","","","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3383"
"76288","ОХЛЕБИНИНО","54.5","56.38","2023-02-27 08:00:00","","","","","","","","","","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3384"
"76288","ОХЛЕБИНИНО","54.5","56.38","2023-02-21 08:00:00","176.0","0.0","","","","","996","","","2023-02-21 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3385"
"76008","БОНДЮГ","60.48","55.93","2023-02-27 08:00:00","57.0","-2.0","58.0","","","","10","2","","2023-02-27 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3386"
"76008","БОНДЮГ","60.48","55.93","2023-02-26 08:00:00","59.0","0.0","59.0","","","","2","1","","2023-02-26 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3387"
"76008","БОНДЮГ","60.48","55.93","2023-02-24 08:00:00","59.0","1.0","59.0","","","","0","0","","2023-02-24 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3388"
"76008","БОНДЮГ","60.48","55.93","2023-02-24 08:00:00","59.0","1.0","59.0","","","","0","0","","2023-02-23 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3389"
"76008","БОНДЮГ","60.48","55.93","2023-02-23 08:00:00","58.0","1.0","58.0","","","","995","1","","2023-02-24 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3390"
"76008","БОНДЮГ","60.48","55.93","2023-02-25 08:00:00","59.0","0.0","59.0","","","","997","1","","2023-02-25 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3391"
"76008","БОНДЮГ","60.48","55.93","2023-02-23 08:00:00","58.0","1.0","58.0","","","","995","1","","2023-02-23 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3392"
"76008","БОНДЮГ","60.48","55.93","2023-02-22 08:00:00","57.0","0.0","57.0","","","","2","2","","2023-02-22 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3393"
"76008","БОНДЮГ","60.48","55.93","2023-02-21 08:00:00","57.0","1.0","56.0","","","","0","0","","2023-02-21 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3394"
"76284","СТЕРЛИТАМАК","53.66","56.0","2023-02-23 08:00:00","102.0","1.0","","","","","","","","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3395"
"76284","СТЕРЛИТАМАК","53.66","56.0","2023-02-24 08:00:00","101.0","-1.0","","","","","","","","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3396"
"76284","СТЕРЛИТАМАК","53.66","56.0","2023-02-25 08:00:00","101.0","0.0","","","","47","","","4","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3397"
"76284","СТЕРЛИТАМАК","53.66","56.0","2023-02-26 08:00:00","101.0","0.0","","","","","","","","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3398"
"76284","СТЕРЛИТАМАК","53.66","56.0","2023-02-27 08:00:00","102.0","1.0","","","","","","","","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3399"
"76284","СТЕРЛИТАМАК","53.66","56.0","2023-02-22 08:00:00","101.0","1.0","","","","","","","","2023-02-22 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3400"
"76284","СТЕРЛИТАМАК","53.66","56.0","2023-02-21 08:00:00","100.0","0.0","","","","","","","","2023-02-21 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3401"
"76289","УФА","54.7","55.96","2023-02-23 08:00:00","-94.0","0.0","","","","","","","","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3402"
"76289","УФА","54.7","55.96","2023-02-24 08:00:00","-93.0","1.0","","","","","","","","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3403"
"76289","УФА","54.7","55.96","2023-02-25 08:00:00","-91.0","2.0","","","","","","","","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3404"
"76289","УФА","54.7","55.96","2023-02-26 08:00:00","-89.0","2.0","","","","","","","","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3405"
"76289","УФА","54.7","55.96","2023-02-27 08:00:00","-90.0","-1.0","","","","","","","","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3406"
"76289","УФА","54.7","55.96","2023-02-22 08:00:00","-94.0","-2.0","","","","43","","","5","2023-02-22 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3407"
"76289","УФА","54.7","55.96","2023-02-21 08:00:00","-92.0","-1.0","","","","","","","","2023-02-21 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3408"
"75710","ТРИ РУТКИ","56.51","46.63","2023-02-27 08:00:00","179.0","2.0","","","","","5","2","","2023-02-27 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110004393","Р.PУTKA","","3409"
"75710","ТРИ РУТКИ","56.51","46.63","2023-02-25 08:00:00","177.0","0.0","","","","29","0","0","3","2023-02-25 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110004393","Р.PУTKA","","3410"
"75710","ТРИ РУТКИ","56.51","46.63","2023-02-26 08:00:00","177.0","0.0","","","","","4","4","","2023-02-26 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110004393","Р.PУTKA","","3411"
"75710","ТРИ РУТКИ","56.51","46.63","2023-02-24 08:00:00","177.0","0.0","","","","","0","0","","2023-02-24 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110004393","Р.PУTKA","","3412"
"75710","ТРИ РУТКИ","56.51","46.63","2023-02-23 08:00:00","177.0","0.0","","","","","0","0","","2023-02-23 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110004393","Р.PУTKA","","3413"
"75710","ТРИ РУТКИ","56.51","46.63","2023-02-22 08:00:00","177.0","0.0","","","","","0","0","","2023-02-22 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110004393","Р.PУTKA","","3414"
"75710","ТРИ РУТКИ","56.51","46.63","2023-02-21 08:00:00","177.0","0.0","","","","","2","2","","2023-02-21 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110004393","Р.PУTKA","","3415"
"37016","БАЛАКОВО","52.06","47.75","2023-02-23 08:00:00","295.0","-8.0","","","","","","","","2023-02-23 04:00:00.0","","","","","","","","3416"
"37016","БАЛАКОВО","52.06","47.75","2023-02-21 08:00:00","310.0","-13.0","","","","","","","","2023-02-21 04:00:00.0","","","","","","","","3417"
"37016","БАЛАКОВО","52.06","47.75","2023-02-22 08:00:00","303.0","-7.0","","","","","","","","2023-02-22 04:00:00.0","","","","","","","","3418"
"37016","БАЛАКОВО","52.06","47.75","2023-02-27 08:00:00","314.0","-4.0","","","","","","","","2023-02-27 04:00:00.0","","","","","","","","3419"
